SYMBOL,BaseSymBol,Quantity,TYPE,EXPIRY,Mode,TradeExp,STRIKE_LOWEST,STRIKE_HIGHEST,START TIME,STOP TIME,ContractType,ProductType,STRIKE STEP,STRATEGYTAG,CycleCount,LmtPercentage
NIFTY50-INDEX,NIFTY,25,SHORT,28-Nov-24,SPOT,28-Nov-24,0,2,11:00,12:18,MONTHLY,INTRADAY,100,PRO1,10,3
BANKNIFTY,BANKNIFTY,15,SHORT,28-Nov-24,FUTURE,28-Nov-24,0,2,11:00,12:18,MONTHLY,INTRADAY,200,PRO1,10,3
CRUDEOILM,CRUDEOILM,1,SHORT,18-Dec-24,MCX,16-Dec-24,0,2,11:12,12:18,MONTHLY,INTRADAY,50,PRO1,10,5
NATGASMINI,NATGASMINI,1,SHORT,25-Nov-24,MCX,21-Nov-24,0,2,11:12,12:18,MONTHLY,INTRADAY,5,PRO1,10,5
